Ticket_ID,Customer_ID,Customer_Name,Customer_Email,Customer_Country,Customer_Language,Channel,Query_Category,Query_Subcategory,Customer_Query_Text,Intent_Detected,Sentiment_Score,Priority_Level,AI_Response_Text,Human_Escalation_Flag,Resolution_Status,Resolution_Time,Customer_Feedback_Rating,Follow_Up_Required,Timestamp
TKT-10022,CUST-5022,User22,user22@example.com,France,Arabic,Email,Account,Login Issue,Customer is facing an issue and needs support.,Complaint,-0.63,Low,AI provided a helpful response.,FALSE,Escalated,20,3,FALSE,2025-12-03T10:09:19.728667
TKT-10023,CUST-5023,User23,user23@example.com,India,Hindi,WhatsApp,Delivery,Bug Report,Customer is facing an issue and needs support.,Complaint,-0.44,Critical,AI provided a helpful response.,TRUE,Escalated,60,1,TRUE,2025-12-27T01:21:19.728667
TKT-10024,CUST-5024,User24,user24@example.com,USA,German,WhatsApp,Billing,Login Issue,Customer is facing an issue and needs support.,Cancel Service,-0.77,High,AI provided a helpful response.,TRUE,Escalated,5,2,FALSE,2026-02-02T12:10:19.728667
TKT-10025,CUST-5025,User25,user25@example.com,Canada,Hindi,Chat,Technical,Login Issue,Customer is facing an issue and needs support.,Get Help,0.85,High,AI provided a helpful response.,TRUE,Resolved,51,2,FALSE,2026-01-17T01:18:19.728667
TKT-10026,CUST-5026,User26,user26@example.com,Canada,Urdu,Chat,Product,Bug Report,Customer is facing an issue and needs support.,Complaint,0.76,Critical,AI provided a helpful response.,FALSE,Pending,71,4,TRUE,2026-02-01T00:52:19.728667
TKT-10027,CUST-5027,User27,user27@example.com,USA,English,Web,Delivery,Refund Request,Customer is facing an issue and needs support.,Cancel Service,0.76,High,AI provided a helpful response.,TRUE,Pending,49,4,FALSE,2026-01-28T13:34:19.728667
TKT-10028,CUST-5028,User28,user28@example.com,USA,French,Email,Account,Bug Report,Customer is facing an issue and needs support.,Request Info,-0.74,Critical,AI provided a helpful response.,FALSE,Resolved,63,2,FALSE,2026-01-08T03:17:19.728667
TKT-10029,CUST-5029,User29,user29@example.com,Pakistan,Arabic,Chat,Billing,Refund Request,Customer is facing an issue and needs support.,Get Help,-0.76,Medium,AI provided a helpful response.,FALSE,Escalated,32,3,FALSE,2026-01-21T16:20:19.728667
TKT-10030,CUST-5030,User30,user30@example.com,India,English,Chat,Product,Login Issue,Customer is facing an issue and needs support.,Get Help,0.42,Medium,AI provided a helpful response.,FALSE,Resolved,55,3,FALSE,2026-01-13T20:42:19.728667
TKT-10031,CUST-5031,User31,user31@example.com,Germany,Hindi,WhatsApp,Delivery,Refund Request,Customer is facing an issue and needs support.,Complaint,0.48,Low,AI provided a helpful response.,FALSE,Resolved,13,4,TRUE,2026-01-04T23:10:19.728667
TKT-10032,CUST-5032,User32,user32@example.com,Canada,German,Web,Technical,Refund Request,Customer is facing an issue and needs support.,Complaint,-0.21,Critical,AI provided a helpful response.,FALSE,Escalated,10,4,TRUE,2026-01-12T12:23:19.728667
TKT-10033,CUST-5033,User33,user33@example.com,USA,Arabic,Email,Product,General Inquiry,Customer is facing an issue and needs support.,Cancel Service,0.24,High,AI provided a helpful response.,TRUE,Resolved,23,3,FALSE,2026-02-05T22:35:19.728667
TKT-10034,CUST-5034,User34,user34@example.com,USA,Urdu,Web,Billing,General Inquiry,Customer is facing an issue and needs support.,Complaint,-0.78,Low,AI provided a helpful response.,TRUE,Pending,68,5,TRUE,2025-12-18T02:07:19.728667
TKT-10035,CUST-5035,User35,user35@example.com,Germany,Arabic,Chat,Product,Login Issue,Customer is facing an issue and needs support.,Complaint,0.23,Critical,AI provided a helpful response.,TRUE,Escalated,55,4,TRUE,2026-02-02T00:18:19.728667
TKT-10036,CUST-5036,User36,user36@example.com,Canada,French,Email,Billing,General Inquiry,Customer is facing an issue and needs support.,Cancel Service,0.09,Medium,AI provided a helpful response.,TRUE,Escalated,57,1,TRUE,2026-01-26T11:35:19.728667
TKT-10037,CUST-5037,User37,user37@example.com,India,German,Web,Technical,Bug Report,Customer is facing an issue and needs support.,Cancel Service,-0.03,Low,AI provided a helpful response.,FALSE,Escalated,36,5,FALSE,2026-01-21T09:12:19.728667
TKT-10038,CUST-5038,User38,user38@example.com,UAE,French,Chat,Delivery,Bug Report,Customer is facing an issue and needs support.,Get Help,-0.05,Critical,AI provided a helpful response.,TRUE,Resolved,47,1,FALSE,2026-01-06T20:44:19.728667
TKT-10039,CUST-5039,User39,user39@example.com,France,French,Web,Billing,Login Issue,Customer is facing an issue and needs support.,Cancel Service,-0.57,Medium,AI provided a helpful response.,TRUE,Resolved,60,2,FALSE,2026-01-23T17:39:19.728667
TKT-10040,CUST-5040,User40,user40@example.com,Germany,Arabic,Email,Account,General Inquiry,Customer is facing an issue and needs support.,Get Help,0.22,High,AI provided a helpful response.,TRUE,Pending,20,4,TRUE,2026-01-27T04:51:19.728667
TKT-10041,CUST-5041,User41,user41@example.com,Germany,Arabic,Email,Delivery,General Inquiry,Customer is facing an issue and needs support.,Get Help,-0.85,Low,AI provided a helpful response.,FALSE,Escalated,23,2,TRUE,2026-01-31T23:07:19.728667
TKT-10042,CUST-5042,User42,user42@example.com,India,Arabic,Chat,Account,Bug Report,Customer is facing an issue and needs support.,Request Info,-0.46,Critical,AI provided a helpful response.,TRUE,Pending,40,5,FALSE,2026-01-01T10:08:19.728667
TKT-10043,CUST-5043,User43,user43@example.com,UK,Arabic,WhatsApp,Technical,Bug Report,Customer is facing an issue and needs support.,Cancel Service,-0.02,Low,AI provided a helpful response.,TRUE,Resolved,8,4,TRUE,2025-12-10T22:41:19.728667
TKT-10044,CUST-5044,User44,user44@example.com,Pakistan,Arabic,Email,Technical,Payment Failure,Customer is facing an issue and needs support.,Cancel Service,-0.59,Low,AI provided a helpful response.,TRUE,Resolved,50,5,FALSE,2026-01-29T09:26:19.728667
TKT-10045,CUST-5045,User45,user45@example.com,France,French,Web,Delivery,Refund Request,Customer is facing an issue and needs support.,Complaint,-0.65,High,AI provided a helpful response.,FALSE,Resolved,32,4,FALSE,2026-01-25T22:14:19.728667
TKT-10046,CUST-5046,User46,user46@example.com,USA,English,Web,Delivery,General Inquiry,Customer is facing an issue and needs support.,Request Info,0.3,Low,AI provided a helpful response.,TRUE,Pending,20,3,FALSE,2025-12-17T07:39:19.728667
TKT-10047,CUST-5047,User47,user47@example.com,India,English,Web,Account,Bug Report,Customer is facing an issue and needs support.,Complaint,-0.95,High,AI provided a helpful response.,TRUE,Escalated,11,2,TRUE,2026-02-08T15:13:19.728667
TKT-10048,CUST-5048,User48,user48@example.com,Germany,English,WhatsApp,Technical,Login Issue,Customer is facing an issue and needs support.,Request Info,-0.31,Low,AI provided a helpful response.,TRUE,Pending,65,1,TRUE,2026-01-23T19:13:19.728667
TKT-10049,CUST-5049,User49,user49@example.com,Pakistan,Urdu,Web,Delivery,Payment Failure,Customer is facing an issue and needs support.,Get Help,-0.75,Critical,AI provided a helpful response.,TRUE,Pending,45,2,FALSE,2026-01-31T20:47:19.728667
TKT-10050,CUST-5050,User50,user50@example.com,Germany,English,WhatsApp,Delivery,Bug Report,Customer is facing an issue and needs support.,Cancel Service,0.12,Medium,AI provided a helpful response.,FALSE,Escalated,38,2,TRUE,2025-12-12T02:19:19.728667
TKT-10051,CUST-5051,User51,user51@example.com,Australia,English,Email,Billing,General Inquiry,Customer is facing an issue and needs support.,Cancel Service,0.36,Medium,AI provided a helpful response.,FALSE,Pending,23,1,FALSE,2026-01-22T03:24:19.728667
TKT-10052,CUST-5052,User52,user52@example.com,India,German,Chat,Product,Payment Failure,Customer is facing an issue and needs support.,Cancel Service,0.54,Low,AI provided a helpful response.,TRUE,Resolved,12,4,FALSE,2026-01-14T08:54:19.728667
TKT-10053,CUST-5053,User53,user53@example.com,France,English,WhatsApp,Product,General Inquiry,Customer is facing an issue and needs support.,Complaint,-0.08,Medium,AI provided a helpful response.,FALSE,Pending,14,2,TRUE,2026-01-15T15:51:19.728667
TKT-10054,CUST-5054,User54,user54@example.com,UK,English,Email,Billing,Payment Failure,Customer is facing an issue and needs support.,Cancel Service,0.74,Critical,AI provided a helpful response.,FALSE,Pending,30,3,TRUE,2025-12-03T00:37:19.728667
TKT-10055,CUST-5055,User55,user55@example.com,UAE,Arabic,Web,Delivery,Login Issue,Customer is facing an issue and needs support.,Get Help,0.77,Medium,AI provided a helpful response.,FALSE,Resolved,35,1,TRUE,2025-12-07T20:14:19.728667
TKT-10056,CUST-5056,User56,user56@example.com,Canada,English,Web,Account,Refund Request,Customer is facing an issue and needs support.,Cancel Service,0.34,Medium,AI provided a helpful response.,FALSE,Pending,24,4,TRUE,2026-01-09T17:50:19.728667
TKT-10057,CUST-5057,User57,user57@example.com,Germany,English,Email,Account,Login Issue,Customer is facing an issue and needs support.,Get Help,0.51,Critical,AI provided a helpful response.,FALSE,Pending,7,4,TRUE,2025-12-08T00:09:19.728667
TKT-10058,CUST-5058,User58,user58@example.com,France,German,Email,Technical,Bug Report,Customer is facing an issue and needs support.,Get Help,0.95,Low,AI provided a helpful response.,TRUE,Resolved,7,2,FALSE,2025-12-11T22:17:19.728667
TKT-10059,CUST-5059,User59,user59@example.com,USA,French,Web,Billing,Refund Request,Customer is facing an issue and needs support.,Cancel Service,0.74,Low,AI provided a helpful response.,TRUE,Resolved,64,2,TRUE,2026-01-22T19:55:19.728667
TKT-10060,CUST-5060,User60,user60@example.com,Germany,German,WhatsApp,Billing,Refund Request,Customer is facing an issue and needs support.,Get Help,0.52,Low,AI provided a helpful response.,TRUE,Pending,27,5,FALSE,2026-01-14T03:48:19.728667
TKT-10061,CUST-5061,User61,user61@example.com,Germany,Arabic,Email,Product,Bug Report,Customer is facing an issue and needs support.,Complaint,-0.94,High,AI provided a helpful response.,TRUE,Resolved,47,2,FALSE,2025-12-05T22:33:19.728667
TKT-10062,CUST-5062,User62,user62@example.com,Pakistan,French,WhatsApp,Technical,Payment Failure,Customer is facing an issue and needs support.,Get Help,0.41,High,AI provided a helpful response.,TRUE,Escalated,45,3,FALSE,2026-01-19T01:35:19.728667
TKT-10063,CUST-5063,User63,user63@example.com,Australia,French,Web,Billing,Bug Report,Customer is facing an issue and needs support.,Complaint,-0.15,Critical,AI provided a helpful response.,FALSE,Escalated,21,2,TRUE,2026-01-18T17:02:19.728667
TKT-10064,CUST-5064,User64,user64@example.com,France,Arabic,WhatsApp,Account,Refund Request,Customer is facing an issue and needs support.,Get Help,-0.88,High,AI provided a helpful response.,FALSE,Resolved,38,5,TRUE,2025-12-28T04:59:19.728667
TKT-10065,CUST-5065,User65,user65@example.com,USA,English,Chat,Product,Bug Report,Customer is facing an issue and needs support.,Complaint,0.01,Low,AI provided a helpful response.,FALSE,Resolved,47,3,FALSE,2025-12-06T12:12:19.728667
TKT-10066,CUST-5066,User66,user66@example.com,USA,Arabic,Chat,Technical,General Inquiry,Customer is facing an issue and needs support.,Complaint,-0.57,Critical,AI provided a helpful response.,FALSE,Resolved,34,4,FALSE,2025-12-02T14:16:19.728667
TKT-10067,CUST-5067,User67,user67@example.com,Germany,French,Email,Account,Refund Request,Customer is facing an issue and needs support.,Cancel Service,-0.46,High,AI provided a helpful response.,FALSE,Escalated,35,1,FALSE,2025-12-03T17:49:19.728667
TKT-10068,CUST-5068,User68,user68@example.com,France,French,Web,Product,General Inquiry,Customer is facing an issue and needs support.,Complaint,-0.42,Low,AI provided a helpful response.,FALSE,Resolved,64,2,TRUE,2025-12-24T22:11:19.728667
TKT-10069,CUST-5069,User69,user69@example.com,Australia,French,Web,Product,Payment Failure,Customer is facing an issue and needs support.,Complaint,0.07,Low,AI provided a helpful response.,TRUE,Resolved,64,3,FALSE,2025-12-10T23:01:19.728667
TKT-10070,CUST-5070,User70,user70@example.com,Pakistan,Hindi,Web,Product,Refund Request,Customer is facing an issue and needs support.,Cancel Service,0.94,Low,AI provided a helpful response.,TRUE,Escalated,30,3,TRUE,2025-12-13T15:32:19.728667
TKT-10071,CUST-5071,User71,user71@example.com,France,French,WhatsApp,Account,Refund Request,Customer is facing an issue and needs support.,Get Help,0.05,High,AI provided a helpful response.,TRUE,Resolved,62,2,TRUE,2026-02-04T17:04:19.728667
TKT-10072,CUST-5072,User72,user72@example.com,USA,Arabic,Email,Delivery,Login Issue,Customer is facing an issue and needs support.,Cancel Service,0.38,Medium,AI provided a helpful response.,TRUE,Escalated,53,3,FALSE,2026-02-02T21:38:19.728667
TKT-10073,CUST-5073,User73,user73@example.com,UAE,Hindi,Chat,Account,General Inquiry,Customer is facing an issue and needs support.,Get Help,-0.7,Critical,AI provided a helpful response.,TRUE,Escalated,72,3,TRUE,2025-12-20T13:29:19.728667
TKT-10074,CUST-5074,User74,user74@example.com,France,Hindi,WhatsApp,Product,Login Issue,Customer is facing an issue and needs support.,Cancel Service,0.7,Medium,AI provided a helpful response.,TRUE,Escalated,36,5,FALSE,2025-12-11T12:03:19.728667
TKT-10075,CUST-5075,User75,user75@example.com,Australia,Hindi,Chat,Delivery,Login Issue,Customer is facing an issue and needs support.,Complaint,-0.24,Critical,AI provided a helpful response.,TRUE,Resolved,65,1,FALSE,2025-12-27T04:49:19.728667
TKT-10076,CUST-5076,User76,user76@example.com,USA,Hindi,Chat,Billing,Bug Report,Customer is facing an issue and needs support.,Get Help,-0.29,High,AI provided a helpful response.,TRUE,Pending,67,3,TRUE,2025-12-04T15:48:19.728667
TKT-10077,CUST-5077,User77,user77@example.com,UAE,Arabic,Email,Technical,Refund Request,Customer is facing an issue and needs support.,Complaint,-0.56,Critical,AI provided a helpful response.,FALSE,Resolved,48,2,TRUE,2026-01-27T07:05:19.728667
TKT-10078,CUST-5078,User78,user78@example.com,India,Hindi,Chat,Technical,Refund Request,Customer is facing an issue and needs support.,Get Help,0.22,Low,AI provided a helpful response.,FALSE,Resolved,45,2,FALSE,2026-01-20T14:55:19.728667
TKT-10079,CUST-5079,User79,user79@example.com,Canada,English,Web,Product,Payment Failure,Customer is facing an issue and needs support.,Request Info,-0.85,Medium,AI provided a helpful response.,TRUE,Pending,22,5,FALSE,2025-12-09T09:32:19.728667
TKT-10080,CUST-5080,User80,user80@example.com,Pakistan,French,Web,Product,Payment Failure,Customer is facing an issue and needs support.,Get Help,0.63,High,AI provided a helpful response.,FALSE,Pending,35,2,TRUE,2026-02-02T00:20:19.728667
TKT-10081,CUST-5081,User81,user81@example.com,Germany,German,WhatsApp,Product,Login Issue,Customer is facing an issue and needs support.,Get Help,-0.62,Low,AI provided a helpful response.,FALSE,Pending,41,5,TRUE,2026-01-01T04:07:19.728667
TKT-10082,CUST-5082,User82,user82@example.com,Australia,Hindi,Email,Product,General Inquiry,Customer is facing an issue and needs support.,Complaint,0.53,High,AI provided a helpful response.,FALSE,Resolved,31,1,FALSE,2026-01-21T22:27:19.728667
TKT-10083,CUST-5083,User83,user83@example.com,India,French,Chat,Billing,Bug Report,Customer is facing an issue and needs support.,Cancel Service,-0.97,Medium,AI provided a helpful response.,TRUE,Resolved,29,5,FALSE,2025-12-18T02:48:19.728667
TKT-10084,CUST-5084,User84,user84@example.com,India,Urdu,Email,Delivery,General Inquiry,Customer is facing an issue and needs support.,Request Info,-0.17,Low,AI provided a helpful response.,FALSE,Pending,68,1,FALSE,2026-02-08T12:58:19.728667
TKT-10085,CUST-5085,User85,user85@example.com,UK,German,Web,Delivery,Login Issue,Customer is facing an issue and needs support.,Cancel Service,-0.31,Low,AI provided a helpful response.,FALSE,Pending,9,3,TRUE,2026-01-20T05:43:19.728667
TKT-10086,CUST-5086,User86,user86@example.com,France,German,Chat,Account,General Inquiry,Customer is facing an issue and needs support.,Complaint,0.21,Critical,AI provided a helpful response.,TRUE,Escalated,57,4,TRUE,2026-01-12T22:19:19.728667
TKT-10087,CUST-5087,User87,user87@example.com,UK,Urdu,Email,Product,Payment Failure,Customer is facing an issue and needs support.,Complaint,0.19,Medium,AI provided a helpful response.,FALSE,Escalated,45,3,TRUE,2026-02-02T03:10:19.728667
TKT-10088,CUST-5088,User88,user88@example.com,UAE,Hindi,Web,Account,Login Issue,Customer is facing an issue and needs support.,Request Info,-0.57,Critical,AI provided a helpful response.,FALSE,Pending,52,4,FALSE,2025-12-06T13:00:19.728667
TKT-10089,CUST-5089,User89,user89@example.com,UK,Arabic,Email,Delivery,Refund Request,Customer is facing an issue and needs support.,Cancel Service,0.75,Low,AI provided a helpful response.,FALSE,Resolved,59,2,TRUE,2026-01-22T04:00:19.728667
TKT-10090,CUST-5090,User90,user90@example.com,Canada,English,WhatsApp,Billing,Login Issue,Customer is facing an issue and needs support.,Get Help,-0.25,Medium,AI provided a helpful response.,FALSE,Pending,50,4,TRUE,2025-12-06T02:05:19.728667
TKT-10091,CUST-5091,User91,user91@example.com,Germany,French,Email,Product,Refund Request,Customer is facing an issue and needs support.,Complaint,0.45,High,AI provided a helpful response.,FALSE,Resolved,40,1,TRUE,2026-01-23T12:15:19.728667
TKT-10092,CUST-5092,User92,user92@example.com,India,Arabic,Chat,Product,Refund Request,Customer is facing an issue and needs support.,Request Info,0.79,Critical,AI provided a helpful response.,TRUE,Escalated,57,4,FALSE,2026-01-11T14:37:19.728667
TKT-10093,CUST-5093,User93,user93@example.com,France,Arabic,Web,Product,Bug Report,Customer is facing an issue and needs support.,Complaint,-0.33,Medium,AI provided a helpful response.,TRUE,Escalated,6,1,TRUE,2026-02-06T00:29:19.728667
TKT-10094,CUST-5094,User94,user94@example.com,Germany,Urdu,Email,Technical,Login Issue,Customer is facing an issue and needs support.,Get Help,-0.91,High,AI provided a helpful response.,TRUE,Resolved,48,2,TRUE,2025-12-24T15:18:19.728667
TKT-10095,CUST-5095,User95,user95@example.com,Australia,Hindi,Chat,Technical,Bug Report,Customer is facing an issue and needs support.,Cancel Service,-0.69,Medium,AI provided a helpful response.,FALSE,Pending,34,3,FALSE,2026-02-07T08:11:19.728667
TKT-10096,CUST-5096,User96,user96@example.com,UK,Hindi,Chat,Billing,General Inquiry,Customer is facing an issue and needs support.,Get Help,-0.45,Critical,AI provided a helpful response.,FALSE,Escalated,9,2,TRUE,2026-01-02T00:40:19.728667
TKT-10097,CUST-5097,User97,user97@example.com,UAE,Hindi,Web,Technical,Refund Request,Customer is facing an issue and needs support.,Complaint,-0.82,Critical,AI provided a helpful response.,FALSE,Pending,27,2,TRUE,2025-12-20T22:06:19.728667
TKT-10098,CUST-5098,User98,user98@example.com,Canada,English,WhatsApp,Product,Login Issue,Customer is facing an issue and needs support.,Cancel Service,-0.12,Critical,AI provided a helpful response.,FALSE,Escalated,62,5,FALSE,2025-12-23T15:50:19.728667
TKT-10099,CUST-5099,User99,user99@example.com,USA,Urdu,Email,Product,Bug Report,Customer is facing an issue and needs support.,Cancel Service,0.34,Medium,AI provided a helpful response.,FALSE,Resolved,14,1,TRUE,2025-12-05T05:21:19.728667
TKT-10100,CUST-5100,User100,user100@example.com,UAE,Arabic,Email,Billing,Refund Request,Customer is facing an issue and needs support.,Request Info,0.89,Low,AI provided a helpful response.,TRUE,Escalated,39,1,FALSE,2026-02-02T08:27:19.728667
TKT-10101,CUST-5101,User101,user101@example.com,Australia,French,Chat,Product,Payment Failure,Customer is facing an issue and needs support.,Complaint,-0.02,High,AI provided a helpful response.,TRUE,Pending,7,2,TRUE,2025-12-18T21:13:19.728667
TKT-10102,CUST-5102,User102,user102@example.com,USA,French,Email,Product,General Inquiry,Customer is facing an issue and needs support.,Complaint,0.52,Critical,AI provided a helpful response.,TRUE,Escalated,52,4,FALSE,2026-02-07T01:45:19.728667
TKT-10103,CUST-5103,User103,user103@example.com,France,French,WhatsApp,Product,General Inquiry,Customer is facing an issue and needs support.,Get Help,0.41,Medium,AI provided a helpful response.,TRUE,Escalated,57,3,TRUE,2026-02-02T07:43:19.728667
TKT-10104,CUST-5104,User104,user104@example.com,UAE,German,Chat,Account,Refund Request,Customer is facing an issue and needs support.,Complaint,0.5,Medium,AI provided a helpful response.,TRUE,Escalated,9,4,TRUE,2025-12-18T01:40:19.728667
TKT-10105,CUST-5105,User105,user105@example.com,UK,German,Chat,Delivery,Refund Request,Customer is facing an issue and needs support.,Request Info,-0.92,Low,AI provided a helpful response.,FALSE,Pending,57,4,FALSE,2025-12-23T20:59:19.728667
TKT-10106,CUST-5106,User106,user106@example.com,France,German,Chat,Technical,Refund Request,Customer is facing an issue and needs support.,Complaint,0.85,Medium,AI provided a helpful response.,FALSE,Resolved,3,5,FALSE,2026-01-24T11:30:19.728667
TKT-10107,CUST-5107,User107,user107@example.com,Australia,Urdu,Email,Account,Bug Report,Customer is facing an issue and needs support.,Cancel Service,0.82,Low,AI provided a helpful response.,FALSE,Escalated,57,1,FALSE,2026-01-02T18:12:19.728667
TKT-10108,CUST-5108,User108,user108@example.com,Germany,Hindi,Chat,Delivery,Login Issue,Customer is facing an issue and needs support.,Request Info,-0.06,Critical,AI provided a helpful response.,TRUE,Resolved,6,3,FALSE,2026-01-07T13:55:19.728667
TKT-10109,CUST-5109,User109,user109@example.com,India,French,Chat,Billing,Refund Request,Customer is facing an issue and needs support.,Complaint,0.33,Critical,AI provided a helpful response.,FALSE,Escalated,48,4,TRUE,2026-01-08T00:33:19.728667
TKT-10110,CUST-5110,User110,user110@example.com,Australia,Urdu,WhatsApp,Technical,Bug Report,Customer is facing an issue and needs support.,Complaint,0.79,Low,AI provided a helpful response.,FALSE,Escalated,5,4,FALSE,2025-12-09T19:44:19.728667
TKT-10111,CUST-5111,User111,user111@example.com,Australia,Hindi,Web,Product,General Inquiry,Customer is facing an issue and needs support.,Get Help,-0.16,Low,AI provided a helpful response.,TRUE,Escalated,13,2,FALSE,2025-12-29T14:35:19.728667
TKT-10112,CUST-5112,User112,user112@example.com,Germany,English,Email,Billing,Payment Failure,Customer is facing an issue and needs support.,Get Help,-0.08,Critical,AI provided a helpful response.,FALSE,Escalated,6,3,TRUE,2026-01-28T17:14:19.728667
TKT-10113,CUST-5113,User113,user113@example.com,Australia,German,WhatsApp,Product,Bug Report,Customer is facing an issue and needs support.,Complaint,-0.88,Low,AI provided a helpful response.,TRUE,Escalated,19,2,FALSE,2025-12-22T11:30:19.728667
